dim_red,kernal,num_iter,cs,gammas,degs,scores,pipes,times,
PCA(n_components=200),linear,2000,10.0,scale,2,0.562,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",72.27032995224000,
PCA(n_components=200),linear,2000,0.01,0.1,6,0.7612,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",83.13437008857730,
PCA(n_components=200),linear,2000,0.01,0.0001,4,0.7835,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",81.96955418586730,
PCA(n_components=200),linear,2000,0.01,auto,1,0.7957,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",82.7421989440918,
PCA(n_components=200),linear,2000,0.001,10.0,10,0.7423,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.001, kernel='linear', max_iter=2000))],
         verbose=True)",105.45707607269300,
PCA(n_components=200),linear,2000,0.01,0.01,5,0.7778,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",81.73414826393130,
PCA(n_components=200),linear,2000,1.0,1.0,9,0.5565,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(kernel='linear', max_iter=2000))],
         verbose=True)",72.88341093063350,
PCA(n_components=200),linear,2000,0.0001,0.001,8,0.6537,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",156.3281328678130,
PCA(n_components=200),linear,2000,0.1,0.001,3,0.6622,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=2000))],
         verbose=True)",71.64992380142210,
PCA(n_components=200),linear,2000,10.0,scale,2,0.5249,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=10.0, kernel='linear', max_iter=2000))],
         verbose=True)",72.19844698905950,
PCA(n_components=200),linear,2000,0.01,0.1,6,0.7995,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",83.35634589195250,
PCA(n_components=200),linear,2000,0.01,0.0001,4,0.8014,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",83.67229700088500,
