dim_red,kernal,num_iter,cs,gammas,degs,train_scores,test_scores,pipes,times
LinearDiscriminantAnalysis(),linear,3000,0.1,0.01,2,0.89735,0.8929,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",30.87410306930542
LinearDiscriminantAnalysis(),linear,3000,2.0,scale,3,0.8556833333333334,0.8526,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=2, kernel='linear', max_iter=3000))],
         verbose=True)",32.800387144088745
LinearDiscriminantAnalysis(),linear,3000,1.0,0.0005,4,0.8851333333333333,0.8798,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=1, kernel='linear', max_iter=3000))],
         verbose=True)",32.21936893463135
LinearDiscriminantAnalysis(),linear,3000,4.0,0.001,2,0.7757166666666667,0.7614,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=4, kernel='linear', max_iter=3000))],
         verbose=True)",34.16150903701782
LinearDiscriminantAnalysis(),linear,3000,0.1,0.01,2,0.89735,0.8929,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",30.754207849502563
LinearDiscriminantAnalysis(),linear,3000,0.5,0.005,3,0.8954166666666666,0.8926,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.5, kernel='linear', max_iter=3000))],
         verbose=True)",31.441806077957153
LinearDiscriminantAnalysis(),rbf,3000,1.0,0.001,3,0.8961,0.8915,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=1, gamma=0.001, max_iter=3000))],
         verbose=True)",20.50849413871765
LinearDiscriminantAnalysis(),rbf,3000,0.5,0.0005,3,0.8908333333333334,0.8897,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.5, gamma=0.0005, max_iter=3000))],
         verbose=True)",25.046951055526733
LinearDiscriminantAnalysis(),rbf,3000,0.1,0.01,2,0.8996666666666666,0.8954,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, gamma=0.01, max_iter=3000))],
         verbose=True)",20.684810876846313
LinearDiscriminantAnalysis(),rbf,3000,0.1,0.01,2,0.8996666666666666,0.8954,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', LinearDiscriminantAnalysis()),
                ('model', SVC(C=0.1, gamma=0.01, max_iter=3000))],
         verbose=True)",21.038197994232178
