dim_red,kernal,num_iter,cs,gammas,degs,train_scores,test_scores,pipes,times
PCA(n_components=50),linear,3000,4.0,0.01,2,0.5200333333333333,0.5278,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=4, kernel='linear', max_iter=3000))],
         verbose=True)",41.31144618988037
PCA(n_components=50),linear,3000,0.1,scale,3,0.8903166666666666,0.892,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",29.876782178878784
PCA(n_components=50),linear,3000,0.1,0.005,3,0.8561166666666666,0.8579,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",29.363805294036865
PCA(n_components=50),linear,3000,2.0,0.01,2,0.5073166666666666,0.5012,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=2, kernel='linear', max_iter=3000))],
         verbose=True)",38.49295091629028
PCA(n_components=50),linear,3000,1.0,0.001,2,0.5998833333333333,0.589,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=1, kernel='linear', max_iter=3000))],
         verbose=True)",36.7762291431427
PCA(n_components=50),linear,3000,0.5,0.0005,4,0.6361833333333333,0.6244,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.5, kernel='linear', max_iter=3000))],
         verbose=True)",34.76667904853821
PCA(n_components=100),linear,3000,0.1,0.01,3,0.8943833333333333,0.892,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",53.886183977127075
PCA(n_components=100),linear,3000,1.0,0.0005,2,0.6695833333333333,0.67,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=1, kernel='linear', max_iter=3000))],
         verbose=True)",70.12326788902283
PCA(n_components=100),linear,3000,0.1,scale,4,0.8999666666666667,0.8952,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",53.27836608886719
PCA(n_components=100),linear,3000,0.5,0.01,3,0.6615166666666666,0.6539,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.5, kernel='linear', max_iter=3000))],
         verbose=True)",65.42911505699158
