dim_red,kernal,num_iter,cs,gammas,degs,train_scores,test_scores,pipes,times
PCA(n_components=100),linear,3000,0.1,0.01,3,0.8943833333333333,0.892,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",53.886183977127075
PCA(n_components=100),linear,3000,1.0,0.0005,2,0.6695833333333333,0.67,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=1, kernel='linear', max_iter=3000))],
         verbose=True)",70.12326788902283
PCA(n_components=100),linear,3000,0.1,scale,4,0.8999666666666667,0.8952,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=3000))],
         verbose=True)",53.27836608886719
PCA(n_components=100),linear,3000,0.5,0.01,3,0.6615166666666666,0.6539,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.5, kernel='linear', max_iter=3000))],
         verbose=True)",65.42911505699158
PCA(n_components=100),linear,3000,2.0,0.001,2,0.5858333333333333,0.5783,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=2, kernel='linear', max_iter=3000))],
         verbose=True)",71.13557291030884
PCA(n_components=100),linear,3000,4.0,0.005,2,0.5891333333333333,0.5895,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=4, kernel='linear', max_iter=3000))],
         verbose=True)",72.62539792060852
PCA(n_components=100),rbf,3000,0.1,0.005,3,0.9337833333333333,0.9266,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.1, gamma=0.005, max_iter=3000))],
         verbose=True)",161.5093548297882
PCA(n_components=100),rbf,3000,1.0,0.001,4,0.9728666666666667,0.9652,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=1, gamma=0.001, max_iter=3000))],
         verbose=True)",59.45322394371033
PCA(n_components=100),rbf,3000,0.1,0.0005,2,0.9288666666666666,0.9282,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.1, gamma=0.0005, max_iter=3000))],
         verbose=True)",135.44996190071106
PCA(n_components=100),rbf,3000,0.5,0.01,2,0.97875,0.9261,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.5, gamma=0.01, max_iter=3000))],
         verbose=True)",186.27729725837708
PCA(n_components=100),rbf,3000,4.0,scale,3,0.99375,0.9777,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=4, max_iter=3000))],
         verbose=True)",54.31546926498413
PCA(n_components=100),rbf,3000,2.0,0.01,2,0.99895,0.9484,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=2, gamma=0.01, max_iter=3000))],
         verbose=True)",167.06517624855042
PCA(n_components=100),poly,3000,2.0,0.0005,4,0.09998333333333333,0.1015,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model',
                 SVC(C=2, degree=4, gamma=0.0005, kernel='poly',
                     max_iter=3000))],
         verbose=True)",323.5887453556061
PCA(n_components=100),poly,3000,0.5,0.001,2,0.9586,0.9543,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model',
                 SVC(C=0.5, degree=2, gamma=0.001, kernel='poly',
                     max_iter=3000))],
         verbose=True)",128.13863801956177
PCA(n_components=100),poly,3000,1.0,scale,3,0.97905,0.9669,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=1, kernel='poly', max_iter=3000))],
         verbose=True)",87.31630373001099
PCA(n_components=100),poly,3000,0.1,0.005,2,0.9784333333333334,0.969,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model',
                 SVC(C=0.1, degree=2, gamma=0.005, kernel='poly',
                     max_iter=3000))],
         verbose=True)",65.90158796310425
