dim_red,kernal,num_iter,cs,gammas,degs,scores,pipes,times
PCA(n_components=50),linear,2000,10.0,scale,1,0.4689,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=10, kernel='linear', max_iter=2000))],
         verbose=True)",32.73558974266052
PCA(n_components=50),linear,2000,1.0,auto,2,0.6335,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=1, kernel='linear', max_iter=2000))],
         verbose=True)",31.791624069213867
PCA(n_components=50),linear,2000,0.1,0.1,3,0.7869,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=2000))],
         verbose=True)",28.238205194473267
PCA(n_components=50),linear,2000,0.01,0.01,5,0.9319,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=2000))],
         verbose=True)",26.834079027175903
PCA(n_components=50),linear,2000,0.001,0.001,8,0.9266,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.001, kernel='linear', max_iter=2000))],
         verbose=True)",33.46008014678955
PCA(n_components=50),linear,2000,0.0001,0.0001,10,0.9148,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=2000))],
         verbose=True)",60.828582763671875
PCA(n_components=50),linear,5000,10.0,scale,1,0.4702,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=10, kernel='linear', max_iter=5000))],
         verbose=True)",52.35810708999634
PCA(n_components=50),linear,5000,1.0,auto,2,0.6484,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=1, kernel='linear', max_iter=5000))],
         verbose=True)",45.69084191322327
PCA(n_components=50),linear,5000,0.1,0.1,3,0.9207,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=5000))],
         verbose=True)",33.19179582595825
PCA(n_components=50),linear,5000,0.01,0.01,5,0.9334,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=5000))],
         verbose=True)",26.386749982833862
PCA(n_components=50),linear,5000,0.001,0.001,8,0.9279,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.001, kernel='linear', max_iter=5000))],
         verbose=True)",32.882879972457886
PCA(n_components=50),linear,5000,0.0001,0.0001,10,0.9165,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=5000))],
         verbose=True)",61.17521095275879
PCA(n_components=50),linear,10000,10.0,scale,1,0.5798,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=10, kernel='linear', max_iter=10000))],
         verbose=True)",69.17490196228027
PCA(n_components=50),linear,10000,1.0,auto,2,0.7417,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=1, kernel='linear', max_iter=10000))],
         verbose=True)",58.58242583274841
PCA(n_components=50),linear,10000,0.1,0.1,3,0.9339,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.1, kernel='linear', max_iter=10000))],
         verbose=True)",35.23974919319153
PCA(n_components=50),linear,10000,0.01,0.01,5,0.9328,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.01, kernel='linear', max_iter=10000))],
         verbose=True)",27.10603976249695
PCA(n_components=50),linear,10000,0.001,0.001,8,0.9283,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.001, kernel='linear', max_iter=10000))],
         verbose=True)",33.367913246154785
PCA(n_components=50),linear,10000,0.0001,0.0001,10,0.9163,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.0001, kernel='linear', max_iter=10000))],
         verbose=True)",62.98580312728882
