dim_red,kernal,num_iter,cs,gammas,degs,train_scores,test_scores,pipes,times
PCA(n_components=50),poly,3000,0.1,0.01,3,0.9919333333333333,0.9724,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model',
                 SVC(C=0.1, gamma=0.01, kernel='poly', max_iter=3000))],
         verbose=True)",23.63456416130066
PCA(n_components=50),poly,3000,0.5,0.01,3,0.9974666666666666,0.9717,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model',
                 SVC(C=0.5, gamma=0.01, kernel='poly', max_iter=3000))],
         verbose=True)",20.014567852020264
PCA(n_components=50),poly,3000,4.0,scale,2,0.9862833333333333,0.9722,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=4, degree=2, kernel='poly', max_iter=3000))],
         verbose=True)",20.188934087753296
PCA(n_components=50),poly,3000,1.0,0.005,2,0.9860666666666666,0.9728,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model',
                 SVC(C=1, degree=2, gamma=0.005, kernel='poly',
                     max_iter=3000))],
         verbose=True)",20.06505584716797
PCA(n_components=50),poly,3000,0.1,0.0005,4,0.09933333333333333,0.101,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model',
                 SVC(C=0.1, degree=4, gamma=0.0005, kernel='poly',
                     max_iter=3000))],
         verbose=True)",150.99288296699524
PCA(n_components=50),poly,3000,2.0,0.001,2,0.96545,0.9586,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model',
                 SVC(C=2, degree=2, gamma=0.001, kernel='poly',
                     max_iter=3000))],
         verbose=True)",39.69736385345459
PCA(n_components=100),poly,3000,2.0,0.0005,4,0.09998333333333333,0.1015,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model',
                 SVC(C=2, degree=4, gamma=0.0005, kernel='poly',
                     max_iter=3000))],
         verbose=True)",323.5887453556061
PCA(n_components=100),poly,3000,0.5,0.001,2,0.9586,0.9543,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model',
                 SVC(C=0.5, degree=2, gamma=0.001, kernel='poly',
                     max_iter=3000))],
         verbose=True)",128.13863801956177
PCA(n_components=100),poly,3000,1.0,scale,3,0.97905,0.9669,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=1, kernel='poly', max_iter=3000))],
         verbose=True)",87.31630373001099
PCA(n_components=100),poly,3000,0.1,0.005,2,0.9784333333333334,0.969,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model',
                 SVC(C=0.1, degree=2, gamma=0.005, kernel='poly',
                     max_iter=3000))],
         verbose=True)",65.90158796310425
