dim_red,kernal,num_iter,cs,gammas,degs,train_scores,test_scores,pipes,times
PCA(n_components=50),rbf,3000,2.0,0.005,2,0.9943166666666666,0.9728,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=2, gamma=0.005, max_iter=3000))],
         verbose=True)",45.33353805541992
PCA(n_components=50),rbf,3000,1.0,scale,2,0.9819333333333333,0.9715,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=1, max_iter=3000))],
         verbose=True)",34.43683671951294
PCA(n_components=50),rbf,3000,0.5,0.001,3,0.9579,0.9547,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.5, gamma=0.001, max_iter=3000))],
         verbose=True)",37.948458194732666
PCA(n_components=50),rbf,3000,4.0,0.01,4,0.9993,0.9627,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=4, gamma=0.01, max_iter=3000))],
         verbose=True)",68.54166913032532
PCA(n_components=50),rbf,3000,0.1,0.0005,3,0.9226666666666666,0.9248,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.1, gamma=0.0005, max_iter=3000))],
         verbose=True)",72.77257704734802
PCA(n_components=50),rbf,3000,0.1,0.01,2,0.9081666666666667,0.8995,"Pipeline(steps=[('scaler', StandardScaler()), ('dim_red', PCA(n_components=50)),
                ('model', SVC(C=0.1, gamma=0.01, max_iter=3000))],
         verbose=True)",111.05785894393921
PCA(n_components=100),rbf,3000,0.1,0.005,3,0.9337833333333333,0.9266,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.1, gamma=0.005, max_iter=3000))],
         verbose=True)",161.5093548297882
PCA(n_components=100),rbf,3000,1.0,0.001,4,0.9728666666666667,0.9652,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=1, gamma=0.001, max_iter=3000))],
         verbose=True)",59.45322394371033
PCA(n_components=100),rbf,3000,0.1,0.0005,2,0.9288666666666666,0.9282,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.1, gamma=0.0005, max_iter=3000))],
         verbose=True)",135.44996190071106
PCA(n_components=100),rbf,3000,0.5,0.01,2,0.97875,0.9261,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=0.5, gamma=0.01, max_iter=3000))],
         verbose=True)",186.27729725837708
PCA(n_components=100),rbf,3000,4.0,scale,3,0.99375,0.9777,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=4, max_iter=3000))],
         verbose=True)",54.31546926498413
PCA(n_components=100),rbf,3000,2.0,0.01,2,0.99895,0.9484,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=100)),
                ('model', SVC(C=2, gamma=0.01, max_iter=3000))],
         verbose=True)",167.06517624855042
PCA(n_components=200),rbf,3000,2.0,0.0005,3,0.9715833333333334,0.9621,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=2, gamma=0.0005, max_iter=3000))],
         verbose=True)",109.30639100074768
PCA(n_components=200),rbf,3000,1.0,0.005,3,0.9956666666666667,0.9609,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=1, gamma=0.005, max_iter=3000))],
         verbose=True)",222.05120992660522
PCA(n_components=200),rbf,3000,0.1,0.01,2,0.83575,0.8158,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.1, gamma=0.01, max_iter=3000))],
         verbose=True)",596.610955953598
PCA(n_components=200),rbf,3000,0.1,scale,2,0.9464333333333333,0.9414,"Pipeline(steps=[('scaler', StandardScaler()),
                ('dim_red', PCA(n_components=200)),
                ('model', SVC(C=0.1, max_iter=3000))],
         verbose=True)",235.22373294830322
